[[2, 5], [3, 5], [4, 5], [6, 7]]
[10, 7, 42, 49, 8, 50, 52, 9, 44, 51]
[10, 7, 42, 49, 8, 50, 9, 44, 51, 53]
[10, 7, 42, 49, 8, 50, 9, 44, 51, 54]
[10, 7, 42, 49, 8, 50, 52, 9, 44, 53]
[10, 7, 42, 49, 8, 50, 52, 9, 44, 54]
[10, 7, 42, 49, 8, 50, 9, 44, 53, 54]
[10, 7, 42, 49, 8, 52, 9, 44, 51, 53]
[10, 7, 42, 49, 8, 52, 9, 44, 51, 54]
[10, 7, 42, 49, 8, 9, 44, 51, 53, 54]
[10, 7, 42, 49, 8, 52, 9, 44, 53, 54]
[10, 7, 42, 8, 50, 52, 9, 44, 51, 53]
[10, 7, 42, 8, 50, 52, 9, 44, 51, 54]
[10, 7, 42, 8, 50, 9, 44, 51, 53, 54]
[10, 7, 42, 8, 50, 52, 9, 44, 53, 54]
[10, 7, 42, 8, 52, 9, 44, 51, 53, 54]
[10, 7, 42, 49, 8, 50, 52, 9, 51, 53]
[10, 7, 42, 49, 8, 50, 52, 9, 51, 54]
[10, 7, 42, 49, 8, 50, 9, 51, 53, 54]
[10, 7, 42, 49, 8, 50, 52, 9, 53, 54]
[10, 7, 42, 49, 8, 52, 9, 51, 53, 54]
[10, 7, 42, 8, 50, 52, 9, 51, 53, 54]
[10, 7, 49, 8, 43, 50, 52, 9, 44, 51]
[10, 7, 49, 8, 43, 50, 9, 44, 51, 53]
[10, 7, 49, 8, 43, 50, 9, 44, 51, 54]
[10, 7, 49, 8, 43, 50, 52, 9, 44, 53]
[10, 7, 49, 8, 43, 50, 52, 9, 44, 54]
[10, 7, 49, 8, 43, 50, 9, 44, 53, 54]
[10, 7, 49, 8, 43, 52, 9, 44, 51, 53]
[10, 7, 49, 8, 43, 52, 9, 44, 51, 54]
[10, 7, 49, 8, 43, 9, 44, 51, 53, 54]
[10, 7, 49, 8, 43, 52, 9, 44, 53, 54]
[10, 7, 8, 43, 50, 52, 9, 44, 51, 53]
[10, 7, 8, 43, 50, 52, 9, 44, 51, 54]
[10, 7, 8, 43, 50, 9, 44, 51, 53, 54]
[10, 7, 8, 43, 50, 52, 9, 44, 53, 54]
[10, 7, 8, 43, 52, 9, 44, 51, 53, 54]
[10, 7, 49, 8, 43, 50, 52, 9, 51, 53]
[10, 7, 49, 8, 43, 50, 52, 9, 51, 54]
[10, 7, 49, 8, 43, 50, 9, 51, 53, 54]
[10, 7, 49, 8, 43, 50, 52, 9, 53, 54]
[10, 7, 49, 8, 43, 52, 9, 51, 53, 54]
[10, 7, 8, 43, 50, 52, 9, 51, 53, 54]
[10, 7, 49, 8, 50, 52, 9, 44, 51, 53]
[10, 7, 49, 8, 50, 52, 9, 44, 51, 54]
[10, 7, 49, 8, 50, 9, 44, 51, 53, 54]
[10, 7, 49, 8, 50, 52, 9, 44, 53, 54]
[10, 7, 49, 8, 52, 9, 44, 51, 53, 54]
[10, 7, 8, 50, 52, 9, 44, 51, 53, 54]
[10, 7, 49, 8, 50, 52, 9, 51, 53, 54]
[14, 40, 7, 16, 42, 8, 17, 43, 9, 18]
[14, 40, 7, 16, 42, 8, 17, 9, 18, 44]
[14, 40, 7, 16, 42, 49, 8, 17, 9, 18]
[14, 40, 7, 16, 42, 8, 17, 50, 9, 18]
[14, 40, 7, 16, 42, 8, 17, 9, 18, 51]
[14, 40, 7, 16, 42, 8, 17, 52, 9, 18]
[14, 40, 7, 16, 42, 8, 17, 9, 18, 53]
[14, 40, 7, 16, 42, 8, 17, 9, 18, 54]
[14, 40, 7, 16, 8, 17, 43, 9, 18, 44]
[14, 40, 7, 16, 49, 8, 17, 43, 9, 18]
[14, 40, 7, 16, 8, 17, 43, 50, 9, 18]
[14, 40, 7, 16, 8, 17, 43, 9, 18, 51]
[14, 40, 7, 16, 8, 17, 43, 52, 9, 18]
[14, 40, 7, 16, 8, 17, 43, 9, 18, 53]
[14, 40, 7, 16, 8, 17, 43, 9, 18, 54]
[14, 40, 7, 16, 49, 8, 17, 9, 18, 44]
[14, 40, 7, 16, 8, 17, 50, 9, 18, 44]
[14, 40, 7, 16, 8, 17, 9, 18, 44, 51]
[14, 40, 7, 16, 8, 17, 52, 9, 18, 44]
[14, 40, 7, 16, 8, 17, 9, 18, 44, 53]
[14, 40, 7, 16, 8, 17, 9, 18, 44, 54]
[14, 40, 7, 16, 49, 8, 17, 50, 9, 18]
[14, 40, 7, 16, 49, 8, 17, 9, 18, 51]
[14, 40, 7, 16, 49, 8, 17, 52, 9, 18]
[14, 40, 7, 16, 49, 8, 17, 9, 18, 53]
[14, 40, 7, 16, 49, 8, 17, 9, 18, 54]
[14, 40, 7, 16, 8, 17, 50, 9, 18, 51]
[14, 40, 7, 16, 8, 17, 50, 52, 9, 18]
[14, 40, 7, 16, 8, 17, 50, 9, 18, 53]
[14, 40, 7, 16, 8, 17, 50, 9, 18, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 18, 51]
[14, 40, 7, 16, 8, 17, 9, 18, 51, 53]
[14, 40, 7, 16, 8, 17, 9, 18, 51, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 18, 53]
[14, 40, 7, 16, 8, 17, 52, 9, 18, 54]
[14, 40, 7, 16, 8, 17, 9, 18, 53, 54]
[14, 7, 16, 42, 8, 17, 43, 9, 18, 44]
[14, 7, 16, 42, 49, 8, 17, 43, 9, 18]
[14, 7, 16, 42, 8, 17, 43, 50, 9, 18]
[14, 7, 16, 42, 8, 17, 43, 9, 18, 51]
[14, 7, 16, 42, 8, 17, 43, 52, 9, 18]
[14, 7, 16, 42, 8, 17, 43, 9, 18, 53]
[14, 7, 16, 42, 8, 17, 43, 9, 18, 54]
[14, 7, 16, 42, 49, 8, 17, 9, 18, 44]
[14, 7, 16, 42, 8, 17, 50, 9, 18, 44]
[14, 7, 16, 42, 8, 17, 9, 18, 44, 51]
[14, 7, 16, 42, 8, 17, 52, 9, 18, 44]
[14, 7, 16, 42, 8, 17, 9, 18, 44, 53]
[14, 7, 16, 42, 8, 17, 9, 18, 44, 54]
[14, 7, 16, 42, 49, 8, 17, 50, 9, 18]
[14, 7, 16, 42, 49, 8, 17, 9, 18, 51]
[14, 7, 16, 42, 49, 8, 17, 52, 9, 18]
[14, 7, 16, 42, 49, 8, 17, 9, 18, 53]
[14, 7, 16, 42, 49, 8, 17, 9, 18, 54]
[14, 7, 16, 42, 8, 17, 50, 9, 18, 51]
[14, 7, 16, 42, 8, 17, 50, 52, 9, 18]
[14, 7, 16, 42, 8, 17, 50, 9, 18, 53]
[14, 7, 16, 42, 8, 17, 50, 9, 18, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 18, 51]
[14, 7, 16, 42, 8, 17, 9, 18, 51, 53]
[14, 7, 16, 42, 8, 17, 9, 18, 51, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 18, 53]
[14, 7, 16, 42, 8, 17, 52, 9, 18, 54]
[14, 7, 16, 42, 8, 17, 9, 18, 53, 54]
[14, 7, 16, 49, 8, 17, 43, 9, 18, 44]
[14, 7, 16, 8, 17, 43, 50, 9, 18, 44]
[14, 7, 16, 8, 17, 43, 9, 18, 44, 51]
[14, 7, 16, 8, 17, 43, 52, 9, 18, 44]
[14, 7, 16, 8, 17, 43, 9, 18, 44, 53]
[14, 7, 16, 8, 17, 43, 9, 18, 44, 54]
[14, 7, 16, 49, 8, 17, 43, 50, 9, 18]
[14, 7, 16, 49, 8, 17, 43, 9, 18, 51]
[14, 7, 16, 49, 8, 17, 43, 52, 9, 18]
[14, 7, 16, 49, 8, 17, 43, 9, 18, 53]
[14, 7, 16, 49, 8, 17, 43, 9, 18, 54]
[14, 7, 16, 8, 17, 43, 50, 9, 18, 51]
[14, 7, 16, 8, 17, 43, 50, 52, 9, 18]
[14, 7, 16, 8, 17, 43, 50, 9, 18, 53]
[14, 7, 16, 8, 17, 43, 50, 9, 18, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 18, 51]
[14, 7, 16, 8, 17, 43, 9, 18, 51, 53]
[14, 7, 16, 8, 17, 43, 9, 18, 51, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 18, 53]
[14, 7, 16, 8, 17, 43, 52, 9, 18, 54]
[14, 7, 16, 8, 17, 43, 9, 18, 53, 54]
[14, 7, 16, 49, 8, 17, 50, 9, 18, 44]
[14, 7, 16, 49, 8, 17, 9, 18, 44, 51]
[14, 7, 16, 49, 8, 17, 52, 9, 18, 44]
[14, 7, 16, 49, 8, 17, 9, 18, 44, 53]
[14, 7, 16, 49, 8, 17, 9, 18, 44, 54]
[14, 7, 16, 8, 17, 50, 9, 18, 44, 51]
[14, 7, 16, 8, 17, 50, 52, 9, 18, 44]
[14, 7, 16, 8, 17, 50, 9, 18, 44, 53]
[14, 7, 16, 8, 17, 50, 9, 18, 44, 54]
[14, 7, 16, 8, 17, 52, 9, 18, 44, 51]
[14, 7, 16, 8, 17, 9, 18, 44, 51, 53]
[14, 7, 16, 8, 17, 9, 18, 44, 51, 54]
[14, 7, 16, 8, 17, 52, 9, 18, 44, 53]
[14, 7, 16, 8, 17, 52, 9, 18, 44, 54]
[14, 7, 16, 8, 17, 9, 18, 44, 53, 54]
[14, 7, 16, 49, 8, 17, 50, 9, 18, 51]
[14, 7, 16, 49, 8, 17, 50, 52, 9, 18]
[14, 7, 16, 49, 8, 17, 50, 9, 18, 53]
[14, 7, 16, 49, 8, 17, 50, 9, 18, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 18, 51]
[14, 7, 16, 49, 8, 17, 9, 18, 51, 53]
[14, 7, 16, 49, 8, 17, 9, 18, 51, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 18, 53]
[14, 7, 16, 49, 8, 17, 52, 9, 18, 54]
[14, 7, 16, 49, 8, 17, 9, 18, 53, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 18, 51]
[14, 7, 16, 8, 17, 50, 9, 18, 51, 53]
[14, 7, 16, 8, 17, 50, 9, 18, 51, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 18, 53]
[14, 7, 16, 8, 17, 50, 52, 9, 18, 54]
[14, 7, 16, 8, 17, 50, 9, 18, 53, 54]
[14, 7, 16, 8, 17, 52, 9, 18, 51, 53]
[14, 7, 16, 8, 17, 52, 9, 18, 51, 54]
[14, 7, 16, 8, 17, 9, 18, 51, 53, 54]
[14, 7, 16, 8, 17, 52, 9, 18, 53, 54]
[14, 40, 7, 16, 42, 8, 17, 43, 9, 44]
[14, 40, 7, 16, 42, 49, 8, 17, 43, 9]
[14, 40, 7, 16, 42, 8, 17, 43, 50, 9]
[14, 40, 7, 16, 42, 8, 17, 43, 9, 51]
[14, 40, 7, 16, 42, 8, 17, 43, 52, 9]
[14, 40, 7, 16, 42, 8, 17, 43, 9, 53]
[14, 40, 7, 16, 42, 8, 17, 43, 9, 54]
[14, 40, 7, 16, 42, 49, 8, 17, 9, 44]
[14, 40, 7, 16, 42, 8, 17, 50, 9, 44]
[14, 40, 7, 16, 42, 8, 17, 9, 44, 51]
[14, 40, 7, 16, 42, 8, 17, 52, 9, 44]
[14, 40, 7, 16, 42, 8, 17, 9, 44, 53]
[14, 40, 7, 16, 42, 8, 17, 9, 44, 54]
[14, 40, 7, 16, 42, 49, 8, 17, 50, 9]
[14, 40, 7, 16, 42, 49, 8, 17, 9, 51]
[14, 40, 7, 16, 42, 49, 8, 17, 52, 9]
[14, 40, 7, 16, 42, 49, 8, 17, 9, 53]
[14, 40, 7, 16, 42, 49, 8, 17, 9, 54]
[14, 40, 7, 16, 42, 8, 17, 50, 9, 51]
[14, 40, 7, 16, 42, 8, 17, 50, 52, 9]
[14, 40, 7, 16, 42, 8, 17, 50, 9, 53]
[14, 40, 7, 16, 42, 8, 17, 50, 9, 54]
[14, 40, 7, 16, 42, 8, 17, 52, 9, 51]
[14, 40, 7, 16, 42, 8, 17, 9, 51, 53]
[14, 40, 7, 16, 42, 8, 17, 9, 51, 54]
[14, 40, 7, 16, 42, 8, 17, 52, 9, 53]
[14, 40, 7, 16, 42, 8, 17, 52, 9, 54]
[14, 40, 7, 16, 42, 8, 17, 9, 53, 54]
[14, 40, 7, 16, 49, 8, 17, 43, 9, 44]
[14, 40, 7, 16, 8, 17, 43, 50, 9, 44]
[14, 40, 7, 16, 8, 17, 43, 9, 44, 51]
[14, 40, 7, 16, 8, 17, 43, 52, 9, 44]
[14, 40, 7, 16, 8, 17, 43, 9, 44, 53]
[14, 40, 7, 16, 8, 17, 43, 9, 44, 54]
[14, 40, 7, 16, 49, 8, 17, 43, 50, 9]
[14, 40, 7, 16, 49, 8, 17, 43, 9, 51]
[14, 40, 7, 16, 49, 8, 17, 43, 52, 9]
[14, 40, 7, 16, 49, 8, 17, 43, 9, 53]
[14, 40, 7, 16, 49, 8, 17, 43, 9, 54]
[14, 40, 7, 16, 8, 17, 43, 50, 9, 51]
[14, 40, 7, 16, 8, 17, 43, 50, 52, 9]
[14, 40, 7, 16, 8, 17, 43, 50, 9, 53]
[14, 40, 7, 16, 8, 17, 43, 50, 9, 54]
[14, 40, 7, 16, 8, 17, 43, 52, 9, 51]
[14, 40, 7, 16, 8, 17, 43, 9, 51, 53]
[14, 40, 7, 16, 8, 17, 43, 9, 51, 54]
[14, 40, 7, 16, 8, 17, 43, 52, 9, 53]
[14, 40, 7, 16, 8, 17, 43, 52, 9, 54]
[14, 40, 7, 16, 8, 17, 43, 9, 53, 54]
[14, 40, 7, 16, 49, 8, 17, 50, 9, 44]
[14, 40, 7, 16, 49, 8, 17, 9, 44, 51]
[14, 40, 7, 16, 49, 8, 17, 52, 9, 44]
[14, 40, 7, 16, 49, 8, 17, 9, 44, 53]
[14, 40, 7, 16, 49, 8, 17, 9, 44, 54]
[14, 40, 7, 16, 8, 17, 50, 9, 44, 51]
[14, 40, 7, 16, 8, 17, 50, 52, 9, 44]
[14, 40, 7, 16, 8, 17, 50, 9, 44, 53]
[14, 40, 7, 16, 8, 17, 50, 9, 44, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 44, 51]
[14, 40, 7, 16, 8, 17, 9, 44, 51, 53]
[14, 40, 7, 16, 8, 17, 9, 44, 51, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 44, 53]
[14, 40, 7, 16, 8, 17, 52, 9, 44, 54]
[14, 40, 7, 16, 8, 17, 9, 44, 53, 54]
[14, 40, 7, 16, 49, 8, 17, 50, 9, 51]
[14, 40, 7, 16, 49, 8, 17, 50, 52, 9]
[14, 40, 7, 16, 49, 8, 17, 50, 9, 53]
[14, 40, 7, 16, 49, 8, 17, 50, 9, 54]
[14, 40, 7, 16, 49, 8, 17, 52, 9, 51]
[14, 40, 7, 16, 49, 8, 17, 9, 51, 53]
[14, 40, 7, 16, 49, 8, 17, 9, 51, 54]
[14, 40, 7, 16, 49, 8, 17, 52, 9, 53]
[14, 40, 7, 16, 49, 8, 17, 52, 9, 54]
[14, 40, 7, 16, 49, 8, 17, 9, 53, 54]
[14, 40, 7, 16, 8, 17, 50, 52, 9, 51]
[14, 40, 7, 16, 8, 17, 50, 9, 51, 53]
[14, 40, 7, 16, 8, 17, 50, 9, 51, 54]
[14, 40, 7, 16, 8, 17, 50, 52, 9, 53]
[14, 40, 7, 16, 8, 17, 50, 52, 9, 54]
[14, 40, 7, 16, 8, 17, 50, 9, 53, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 51, 53]
[14, 40, 7, 16, 8, 17, 52, 9, 51, 54]
[14, 40, 7, 16, 8, 17, 9, 51, 53, 54]
[14, 40, 7, 16, 8, 17, 52, 9, 53, 54]
[14, 7, 16, 42, 49, 8, 17, 43, 9, 44]
[14, 7, 16, 42, 8, 17, 43, 50, 9, 44]
[14, 7, 16, 42, 8, 17, 43, 9, 44, 51]
[14, 7, 16, 42, 8, 17, 43, 52, 9, 44]
[14, 7, 16, 42, 8, 17, 43, 9, 44, 53]
[14, 7, 16, 42, 8, 17, 43, 9, 44, 54]
[14, 7, 16, 42, 49, 8, 17, 43, 50, 9]
[14, 7, 16, 42, 49, 8, 17, 43, 9, 51]
[14, 7, 16, 42, 49, 8, 17, 43, 52, 9]
[14, 7, 16, 42, 49, 8, 17, 43, 9, 53]
[14, 7, 16, 42, 49, 8, 17, 43, 9, 54]
[14, 7, 16, 42, 8, 17, 43, 50, 9, 51]
[14, 7, 16, 42, 8, 17, 43, 50, 52, 9]
[14, 7, 16, 42, 8, 17, 43, 50, 9, 53]
[14, 7, 16, 42, 8, 17, 43, 50, 9, 54]
[14, 7, 16, 42, 8, 17, 43, 52, 9, 51]
[14, 7, 16, 42, 8, 17, 43, 9, 51, 53]
[14, 7, 16, 42, 8, 17, 43, 9, 51, 54]
[14, 7, 16, 42, 8, 17, 43, 52, 9, 53]
[14, 7, 16, 42, 8, 17, 43, 52, 9, 54]
[14, 7, 16, 42, 8, 17, 43, 9, 53, 54]
[14, 7, 16, 42, 49, 8, 17, 50, 9, 44]
[14, 7, 16, 42, 49, 8, 17, 9, 44, 51]
[14, 7, 16, 42, 49, 8, 17, 52, 9, 44]
[14, 7, 16, 42, 49, 8, 17, 9, 44, 53]
[14, 7, 16, 42, 49, 8, 17, 9, 44, 54]
[14, 7, 16, 42, 8, 17, 50, 9, 44, 51]
[14, 7, 16, 42, 8, 17, 50, 52, 9, 44]
[14, 7, 16, 42, 8, 17, 50, 9, 44, 53]
[14, 7, 16, 42, 8, 17, 50, 9, 44, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 44, 51]
[14, 7, 16, 42, 8, 17, 9, 44, 51, 53]
[14, 7, 16, 42, 8, 17, 9, 44, 51, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 44, 53]
[14, 7, 16, 42, 8, 17, 52, 9, 44, 54]
[14, 7, 16, 42, 8, 17, 9, 44, 53, 54]
[14, 7, 16, 42, 49, 8, 17, 50, 9, 51]
[14, 7, 16, 42, 49, 8, 17, 50, 52, 9]
[14, 7, 16, 42, 49, 8, 17, 50, 9, 53]
[14, 7, 16, 42, 49, 8, 17, 50, 9, 54]
[14, 7, 16, 42, 49, 8, 17, 52, 9, 51]
[14, 7, 16, 42, 49, 8, 17, 9, 51, 53]
[14, 7, 16, 42, 49, 8, 17, 9, 51, 54]
[14, 7, 16, 42, 49, 8, 17, 52, 9, 53]
[14, 7, 16, 42, 49, 8, 17, 52, 9, 54]
[14, 7, 16, 42, 49, 8, 17, 9, 53, 54]
[14, 7, 16, 42, 8, 17, 50, 52, 9, 51]
[14, 7, 16, 42, 8, 17, 50, 9, 51, 53]
[14, 7, 16, 42, 8, 17, 50, 9, 51, 54]
[14, 7, 16, 42, 8, 17, 50, 52, 9, 53]
[14, 7, 16, 42, 8, 17, 50, 52, 9, 54]
[14, 7, 16, 42, 8, 17, 50, 9, 53, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 51, 53]
[14, 7, 16, 42, 8, 17, 52, 9, 51, 54]
[14, 7, 16, 42, 8, 17, 9, 51, 53, 54]
[14, 7, 16, 42, 8, 17, 52, 9, 53, 54]
[14, 7, 16, 49, 8, 17, 43, 50, 9, 44]
[14, 7, 16, 49, 8, 17, 43, 9, 44, 51]
[14, 7, 16, 49, 8, 17, 43, 52, 9, 44]
[14, 7, 16, 49, 8, 17, 43, 9, 44, 53]
[14, 7, 16, 49, 8, 17, 43, 9, 44, 54]
[14, 7, 16, 8, 17, 43, 50, 9, 44, 51]
[14, 7, 16, 8, 17, 43, 50, 52, 9, 44]
[14, 7, 16, 8, 17, 43, 50, 9, 44, 53]
[14, 7, 16, 8, 17, 43, 50, 9, 44, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 44, 51]
[14, 7, 16, 8, 17, 43, 9, 44, 51, 53]
[14, 7, 16, 8, 17, 43, 9, 44, 51, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 44, 53]
[14, 7, 16, 8, 17, 43, 52, 9, 44, 54]
[14, 7, 16, 8, 17, 43, 9, 44, 53, 54]
[14, 7, 16, 49, 8, 17, 43, 50, 9, 51]
[14, 7, 16, 49, 8, 17, 43, 50, 52, 9]
[14, 7, 16, 49, 8, 17, 43, 50, 9, 53]
[14, 7, 16, 49, 8, 17, 43, 50, 9, 54]
[14, 7, 16, 49, 8, 17, 43, 52, 9, 51]
[14, 7, 16, 49, 8, 17, 43, 9, 51, 53]
[14, 7, 16, 49, 8, 17, 43, 9, 51, 54]
[14, 7, 16, 49, 8, 17, 43, 52, 9, 53]
[14, 7, 16, 49, 8, 17, 43, 52, 9, 54]
[14, 7, 16, 49, 8, 17, 43, 9, 53, 54]
[14, 7, 16, 8, 17, 43, 50, 52, 9, 51]
[14, 7, 16, 8, 17, 43, 50, 9, 51, 53]
[14, 7, 16, 8, 17, 43, 50, 9, 51, 54]
[14, 7, 16, 8, 17, 43, 50, 52, 9, 53]
[14, 7, 16, 8, 17, 43, 50, 52, 9, 54]
[14, 7, 16, 8, 17, 43, 50, 9, 53, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 51, 53]
[14, 7, 16, 8, 17, 43, 52, 9, 51, 54]
[14, 7, 16, 8, 17, 43, 9, 51, 53, 54]
[14, 7, 16, 8, 17, 43, 52, 9, 53, 54]
[14, 7, 16, 49, 8, 17, 50, 9, 44, 51]
[14, 7, 16, 49, 8, 17, 50, 52, 9, 44]
[14, 7, 16, 49, 8, 17, 50, 9, 44, 53]
[14, 7, 16, 49, 8, 17, 50, 9, 44, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 44, 51]
[14, 7, 16, 49, 8, 17, 9, 44, 51, 53]
[14, 7, 16, 49, 8, 17, 9, 44, 51, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 44, 53]
[14, 7, 16, 49, 8, 17, 52, 9, 44, 54]
[14, 7, 16, 49, 8, 17, 9, 44, 53, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 44, 51]
[14, 7, 16, 8, 17, 50, 9, 44, 51, 53]
[14, 7, 16, 8, 17, 50, 9, 44, 51, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 44, 53]
[14, 7, 16, 8, 17, 50, 52, 9, 44, 54]
[14, 7, 16, 8, 17, 50, 9, 44, 53, 54]
[14, 7, 16, 8, 17, 52, 9, 44, 51, 53]
[14, 7, 16, 8, 17, 52, 9, 44, 51, 54]
[14, 7, 16, 8, 17, 9, 44, 51, 53, 54]
[14, 7, 16, 8, 17, 52, 9, 44, 53, 54]
[14, 7, 16, 49, 8, 17, 50, 52, 9, 51]
[14, 7, 16, 49, 8, 17, 50, 9, 51, 53]
[14, 7, 16, 49, 8, 17, 50, 9, 51, 54]
[14, 7, 16, 49, 8, 17, 50, 52, 9, 53]
[14, 7, 16, 49, 8, 17, 50, 52, 9, 54]
[14, 7, 16, 49, 8, 17, 50, 9, 53, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 51, 53]
[14, 7, 16, 49, 8, 17, 52, 9, 51, 54]
[14, 7, 16, 49, 8, 17, 9, 51, 53, 54]
[14, 7, 16, 49, 8, 17, 52, 9, 53, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 51, 53]
[14, 7, 16, 8, 17, 50, 52, 9, 51, 54]
[14, 7, 16, 8, 17, 50, 9, 51, 53, 54]
[14, 7, 16, 8, 17, 50, 52, 9, 53, 54]
[14, 7, 16, 8, 17, 52, 9, 51, 53, 54]
[14, 40, 7, 16, 42, 8, 43, 9, 18, 44]
[14, 40, 7, 16, 42, 49, 8, 43, 9, 18]
[14, 40, 7, 16, 42, 8, 43, 50, 9, 18]
[14, 40, 7, 16, 42, 8, 43, 9, 18, 51]
[14, 40, 7, 16, 42, 8, 43, 52, 9, 18]
[14, 40, 7, 16, 42, 8, 43, 9, 18, 53]
[14, 40, 7, 16, 42, 8, 43, 9, 18, 54]
[14, 40, 7, 16, 42, 49, 8, 9, 18, 44]
[14, 40, 7, 16, 42, 8, 50, 9, 18, 44]
[14, 40, 7, 16, 42, 8, 9, 18, 44, 51]
[14, 40, 7, 16, 42, 8, 52, 9, 18, 44]
[14, 40, 7, 16, 42, 8, 9, 18, 44, 53]
[14, 40, 7, 16, 42, 8, 9, 18, 44, 54]
[14, 40, 7, 16, 42, 49, 8, 50, 9, 18]
[14, 40, 7, 16, 42, 49, 8, 9, 18, 51]
[14, 40, 7, 16, 42, 49, 8, 52, 9, 18]
[14, 40, 7, 16, 42, 49, 8, 9, 18, 53]
[14, 40, 7, 16, 42, 49, 8, 9, 18, 54]
[14, 40, 7, 16, 42, 8, 50, 9, 18, 51]
[14, 40, 7, 16, 42, 8, 50, 52, 9, 18]
[14, 40, 7, 16, 42, 8, 50, 9, 18, 53]
[14, 40, 7, 16, 42, 8, 50, 9, 18, 54]
[14, 40, 7, 16, 42, 8, 52, 9, 18, 51]
[14, 40, 7, 16, 42, 8, 9, 18, 51, 53]
[14, 40, 7, 16, 42, 8, 9, 18, 51, 54]
[14, 40, 7, 16, 42, 8, 52, 9, 18, 53]
[14, 40, 7, 16, 42, 8, 52, 9, 18, 54]
[14, 40, 7, 16, 42, 8, 9, 18, 53, 54]
[14, 40, 7, 16, 49, 8, 43, 9, 18, 44]
[14, 40, 7, 16, 8, 43, 50, 9, 18, 44]
[14, 40, 7, 16, 8, 43, 9, 18, 44, 51]
[14, 40, 7, 16, 8, 43, 52, 9, 18, 44]
[14, 40, 7, 16, 8, 43, 9, 18, 44, 53]
[14, 40, 7, 16, 8, 43, 9, 18, 44, 54]
[14, 40, 7, 16, 49, 8, 43, 50, 9, 18]
[14, 40, 7, 16, 49, 8, 43, 9, 18, 51]
[14, 40, 7, 16, 49, 8, 43, 52, 9, 18]
[14, 40, 7, 16, 49, 8, 43, 9, 18, 53]
[14, 40, 7, 16, 49, 8, 43, 9, 18, 54]
[14, 40, 7, 16, 8, 43, 50, 9, 18, 51]
[14, 40, 7, 16, 8, 43, 50, 52, 9, 18]
[14, 40, 7, 16, 8, 43, 50, 9, 18, 53]
[14, 40, 7, 16, 8, 43, 50, 9, 18, 54]
[14, 40, 7, 16, 8, 43, 52, 9, 18, 51]
[14, 40, 7, 16, 8, 43, 9, 18, 51, 53]
[14, 40, 7, 16, 8, 43, 9, 18, 51, 54]
[14, 40, 7, 16, 8, 43, 52, 9, 18, 53]
[14, 40, 7, 16, 8, 43, 52, 9, 18, 54]
[14, 40, 7, 16, 8, 43, 9, 18, 53, 54]
[14, 40, 7, 16, 49, 8, 50, 9, 18, 44]
[14, 40, 7, 16, 49, 8, 9, 18, 44, 51]
[14, 40, 7, 16, 49, 8, 52, 9, 18, 44]
[14, 40, 7, 16, 49, 8, 9, 18, 44, 53]
[14, 40, 7, 16, 49, 8, 9, 18, 44, 54]
[14, 40, 7, 16, 8, 50, 9, 18, 44, 51]
[14, 40, 7, 16, 8, 50, 52, 9, 18, 44]
[14, 40, 7, 16, 8, 50, 9, 18, 44, 53]
[14, 40, 7, 16, 8, 50, 9, 18, 44, 54]
[14, 40, 7, 16, 8, 52, 9, 18, 44, 51]
[14, 40, 7, 16, 8, 9, 18, 44, 51, 53]
[14, 40, 7, 16, 8, 9, 18, 44, 51, 54]
[14, 40, 7, 16, 8, 52, 9, 18, 44, 53]
[14, 40, 7, 16, 8, 52, 9, 18, 44, 54]
[14, 40, 7, 16, 8, 9, 18, 44, 53, 54]
[14, 40, 7, 16, 49, 8, 50, 9, 18, 51]
[14, 40, 7, 16, 49, 8, 50, 52, 9, 18]
[14, 40, 7, 16, 49, 8, 50, 9, 18, 53]
[14, 40, 7, 16, 49, 8, 50, 9, 18, 54]
[14, 40, 7, 16, 49, 8, 52, 9, 18, 51]
[14, 40, 7, 16, 49, 8, 9, 18, 51, 53]
[14, 40, 7, 16, 49, 8, 9, 18, 51, 54]
